blue_<chanterelle> blue_chanterelle NN I
blue_<cheese> blue_cheese NN I
blue_<crab> blue_crab NN I
blue_<curacao> blue_curacao NN I
blue_food_<colouring> blue_food_colouring NN I
blue_king_<crab> blue_king_crab NN I
blue_<ling> blue_ling NN I
blue_<mussel> blue_mussel NN I
blue_swimmer_<crab> blue_swimmer_crab NN I
blue_<tongue> blue_tongue NN I
blue-backed_<fish> blue-backed_fish NN I
blueberry_<ice-cream> blueberry_ice-cream NN I
blueberry_<juice> blueberry_juice NN I
blueberry_<yogurt> blueberry_yogurt NN I
bluff_<oyster> bluff_oyster NN I
blunt_<gaper> blunt_gaper NN I
bohinc_<jože> bohinc_jože NN I
bok_<choy> bok_choy NN I
bolita_<bean> bolita_bean NN I
bolivian_<coconut> bolivian_coconut NN I
bols_crème_de_<bananes> bols_crème_de_bananes NN I
bonavist_<bean> bonavist_bean NN I
bone_<marrow> bone_marrow NN I
bone_<scissors> bone_scissors NN I
boneless_chicken_<breast> boneless_chicken_breast NN I
bonito_<flake> bonito_flake NN I
boops_<boops> boops_boops NN I
borlotti_<bean> borlotti_bean NN I
boston_<bean> boston_bean NN I
boston_navy_<bean> boston_navy_bean NN I
bottle_<gourd> bottle_gourd NN I
bouillon_<cube> bouillon_cube NN I
bouquet_<garni> bouquet_garni NN I
boxer_<octopus> boxer_octopus NN I
bran_<flake> bran_flake NN I
brandy_<glass> brandy_glass NN I
branston_pickle_<recipe> branston_pickle_recipe NN I
brânză_de_<vaci> brânză_de_vaci NN I
brânzǎ_de_<burduf> brânzǎ_de_burduf NN I
brazil_<nut> brazil_nut NN I
brazilian_<guava> brazilian_guava NN I
bread_<crumb> bread_crumb NN I
bread_<dough> bread_dough NN I
bread_<flour> bread_flour NN I
bread_<knife> bread_knife NN I
breadnut_<seed> breadnut_seed NN I
breadnut_tree_<seed> breadnut_tree_seed NN I
breakfast_<sausage> breakfast_sausage NN I
brewed_<coffee> brewed_coffee NN I
brewer's_<yeast> brewer's_yeast NN I
brick_<cheese> brick_cheese NN I
brie_<cheese> brie_cheese NN I
brie_de_<meaux> brie_de_meaux NN I
british_pale_<chocolate> british_pale_chocolate NN I
broad_<bean> broad_bean NN I
broad_<beans> broad_beans NN I
broad-leaf_<bramble> broad-leaf_bramble NN I
broccoli_<rabe> broccoli_rabe NN I
bronze_<turkey> bronze_turkey NN I
brown_<ale> brown_ale NN I
brown_bread_<ice-cream> brown_bread_ice-cream NN I
brown_<crab> brown_crab NN I
brown_<flour> brown_flour NN I
brown_<lentil> brown_lentil NN I
brown_<mussel> brown_mussel NN I
brown_<mustard> brown_mustard NN I
brown_mustard_<seed> brown_mustard_seed NN I
brown_<rice> brown_rice NN I
brown_rice_<flour> brown_rice_flour NN I
brown_rice_<miso> brown_rice_miso NN I
brown_<shrimp> brown_shrimp NN I
brown_spotted_reef_<cod> brown_spotted_reef_cod NN I
brown_<stock> brown_stock NN I
brown_<sugar> brown_sugar NN I
brown_sugar_<molasses> brown_sugar_molasses NN I
brown_tepary_<bean> brown_tepary_bean NN I
brown_tiger_<prawn> brown_tiger_prawn NN I
browning_<tray> browning_tray NN I
brussels_<sprout> brussels_sprout NN I
buah_<badai> buah_badai NN I
buckwheat_<flour> buckwheat_flour NN I
buckwheat_<groat> buckwheat_groat NN I
buddha's_<hand> buddha's_hand NN I
buffalo_<mozzarella> buffalo_mozzarella NN I
bulgur_<wheat> bulgur_wheat NN I
bullet_<tuna> bullet_tuna NN I
bündner_<bergkäse> bündner_bergkäse NN I
bundt_cake_<pan> bundt_cake_pan NN I
burdekin_<plum> burdekin_plum NN I
burmese_<grape> burmese_grape NN I
büsciun_da_<cavra> büsciun_da_cavra NN I
bush_<tomato> bush_tomato NN I
butter_<dish> butter_dish NN I
butter_<oil> butter_oil NN I
butter_pecan_ice_<cream> butter_pecan_ice_cream NN I
butter_pecan_<ice-cream> butter_pecan_ice-cream NN I
butter_<sole> butter_sole NN I
butternut_<pumpkin> butternut_pumpkin NN I
butternut_<squash> butternut_squash NN I
butterscotch_<chip> butterscotch_chip NN I
butterscotch_<pudding> butterscotch_pudding NN I
button_<mangosteen> button_mangosteen NN I
café_au_<lait> café_au_lait NN I
cake_batter_<ice-cream> cake_batter_ice-cream NN I
cake_<flour> cake_flour NN I
cake_<meal> cake_meal NN I
calabash_<nutmeg> calabash_nutmeg NN I
california_<butterclam> california_butterclam NN I
california_<halibut> california_halibut NN I
california_<mussel> california_mussel NN I
california_<sheephead> california_sheephead NN I
california_spiny_<lobster> california_spiny_lobster NN I
californian_<anchovy> californian_anchovy NN I
calrose_<rice> calrose_rice NN I
calypso_<bean> calypso_bean NN I
camembert_<cheese> camembert_cheese NN I
camphor_<laurel> camphor_laurel NN I
camu_<camu> camu_camu NN I
can_<opener> can_opener NN I
canadian_<whisky> canadian_whisky NN I
canaria_<bean> canaria_bean NN I
canario_<bean> canario_bean NN I
canary_<melon> canary_melon NN I
canary_<sugar> canary_sugar NN I
candied_<fruit> candied_fruit NN I
cane_<sugar> cane_sugar NN I
cane_<syrup> cane_syrup NN I
cannellini_<bean> cannellini_bean NN I
canola_<oil> canola_oil NN I
cape_<gooseberry> cape_gooseberry NN I
caper_<juice> caper_juice NN I
capuli_<cherry> capuli_cherry NN I
capulin_<cherry> capulin_cherry NN I
caramel_<colouring> caramel_colouring NN I
caramel_<sauce> caramel_sauce NN I
caramel_shortbread_<ice-cream> caramel_shortbread_ice-cream NN I
caraway_<cheese> caraway_cheese NN I
caraway_<seed> caraway_seed NN I
cardamom_<pod> cardamom_pod NN I
caridean_<shrimp> caridean_shrimp NN I
carnation_evaporated_<milk> carnation_evaporated_milk NN I
carob_<chip> carob_chip NN I
carob_<powder> carob_powder NN I
carrot_cake_<mix> carrot_cake_mix NN I
carving_<fork> carving_fork NN I
cashew_<apple> cashew_apple NN I
cashew_<butter> cashew_butter NN I
cashew_<nut> cashew_nut NN I
casserole_<dish> casserole_dish NN I
