<CODE>
sl
</CODE>
<TRANSITION>
\nzm a 11 
\nzn a 50 
\nzr a 15 
\nzu n 80 
\nče \s 35 
\nče p 22 
\nše \s 10 
\nšt . 122 
\nšt e 12 
\nže \s 22 
\nži v 73 
\nžu p 14 
\s!\s 1 264 
\s!\s 2 73 
\s!\s 3 49 
\s!\s 4 48 
\s!\s 5 49 
\s!\s 6 49 
\s!\s 7 45 
\s!\s 8 41 
\s!\s 9 43 
\s!\s b 12 
\s!\s d 110 
\s!\s h 11 
\s!\s n 15 
\s!\s o 369 
\s"c o 10 
\s"d e 10 
\s"d o 11 
\s"m i 10 
\s"n a 17 
\s"p o 14 
\s"p r 11 
\s"s t 14 
\s"t h 15 
\s"z a 10 
\s#\s i 11 
\s#2 \s 11 
\s#r e 10 
\s%\s c 13 
\s%\s d 11 
\s%\s j 11 
\s%\s l 14 
\s%\s o 17 
\s%\s p 32 
\s%\s s 12 
\s%\s v 53 
\s%\s z 12 
\s%) \s 67 
\s%) , 22 
\s%. \s 16 
\s&\s a 13 
\s&\s b 10 
\s&\s c 21 
\s&\s d 16 
\s&\s f 11 
\s&\s h 25 
\s&\s k 10 
\s&\s l 12 
\s&\s m 18 
\s&\s r 16 
\s&\s s 25 
\s&\s t 26 
\s&\s w 16 
\s&m i 13 
\s'\s 9 10 
\s(\s ) 121 
\s(\s , 27 
\s(\s 1 15 
\s(\s p 13 
\s(\s v 14 
\s(\s w 14 
\s(* \s 626 
\s(* 1 23 
\s(+ 1 11 
\s(0 ) 18 
\s(0 + 16 
\s(0 , 17 
\s(1 \s 21 
\s(1 ) 61 
\s(1 + 12 
\s(1 , 26 
\s(1 . 126 
\s(1 / 11 
\s(1 0 85 
\s(1 1 88 
\s(1 2 80 
\s(1 3 86 
\s(1 4 71 
\s(1 5 112 
\s(1 6 107 
\s(1 7 263 
\s(1 8 854 
\s(1 9 2014 
\s(2 \s 17 
\s(2 ) 40 
\s(2 . 56 
\s(2 0 772 
\s(2 1 40 
\s(2 2 39 
\s(2 3 30 
\s(2 4 38 
\s(2 5 43 
\s(2 6 36 
\s(2 7 41 
\s(2 8 33 
\s(2 9 27 
\s(3 ) 32 
\s(3 , 13 
\s(3 . 30 
\s(3 0 34 
\s(3 1 18 
\s(3 2 12 
\s(3 3 12 
\s(3 4 10 
\s(3 5 15 
\s(3 7 10 
\s(4 \s 19 
\s(4 ) 17 
\s(4 . 14 
\s(4 1 18 
\s(4 7 11 
\s(5 ) 16 
\s(5 - 15 
\s(5 . 27 
\s(5 0 13 
\s(6 ) 18 
\s(6 . 26 
\s(6 0 10 
\s(7 ) 10 
\s(7 . 26 
\s(7 6 10 
\s(8 . 22 
\s(8 0 10 
\s(8 1 10 
\s(9 . 15 
\s(9 5 12 
\s(9 8 12 
\s(? \s 10 
\s(? ) 28 
\s(? ? 30 
\s(a \s 24 
\s(a . 12 
\s(a c 27 
\s(a d 24 
\s(a g 10 
\s(a i 11 
\s(a l 117 
\s(a m 35 
\s(a n 261 
\s(a o 16 
\s(a p 21 
\s(a r 65 
\s(a s 31 
\s(a t 35 
\s(a u 22 
\s(a v 82 
\s(b ) 19 
\s(b a 100 
\s(b e 82 
\s(b i 69 
\s(b l 11 
\s(b o 95 
\s(b r 79 
\s(b u 27 
\s(c ) 12 
\s(c a 64 
\s(c d 41 
\s(c e 50 
\s(c g 20 
\s(c h 28 
\s(c i 22 
\s(c l 13 
\s(c o 53 
\s(c r 11 
\s(c u 12 
\s(c v 49 
\s(d ) 16 
\s(d a 135 
\s(d d 217 
\s(d e 241 
\s(d i 66 
\s(d o 144 
\s(d r 187 
\s(d u 16 
\s(d v 27 
\s(e . 10 
\s(e d 15 
\s(e k 15 
\s(e l 20 
\s(e m 23 
\s(e n 51 
\s(e p 22 
\s(e r 18 
\s(e s 22 
\s(e t 15 
\s(e v 42 
\s(f a 27 
\s(f e 43 
\s(f f 15 
\s(f i 123 
\s(f l 24 
\s(f o 30 
\s(f r 121 
\s(g a 26 
\s(g e 39 
\s(g i 20 
\s(g l 99 
\s(g o 45 
\s(g r 108 
\s(h a 40 
\s(h e 57 
\s(h i 32 
\s(h o 27 
\s(h p 17 
\s(h r 98 
\s(h y 11 
\s(i a 20 
\s(i i 10 
\s(i j 14 
\s(i l 12 
\s(i m 61 
\s(i n 179 
\s(i r 16 
\s(i s 25 
\s(i t 104 
\s(i z 331 
\s(j a 65 
\s(j e 29 
\s(j o 17 
\s(j u 56 
\s(k a 148 
\s(k e 10 
\s(k i 92 
\s(k l 23 
\s(k m 20 
\s(k n 14 
\s(k o 164 
\s(k r 134 
\s(k u 15 
\s(l ) 16 
\s(l a 123 
\s(l e 169 
\s(l i 61 
\s(l j 64 
\s(l o 53 
\s(l p 17 
\s(l s 12 
\s(l u 27 
\s(m ) 133 
\s(m a 220 
\s(m c 29 
\s(m e 162 
\s(m i 83 
\s(m l 25 
\s(m m 19 
\s(m o 93 
\s(m r 10 
\s(m u 27 
\s(n \s 12 
\s(n a 276 
\s(n e 316 
\s(n h 11 
\s(n i 48 
\s(n o 106 
\s(n p 154 
\s(o \s 12 
\s(o b 75 
\s(o c 21 
\s(o d 180 
\s(o k 93 
\s(o n 10 
\s(o p 26 
\s(o r 37 
\s(o s 41 
\s(o t 23 
\s(o z 55 
\s(p a 121 
\s(p d 18 
\s(p e 88 
\s(p h 13 
\s(p i 37 
\s(p l 39 
\s(p o 535 
\s(p r 568 
\s(p s 18 
\s(q u 10 
\s(r a 213 
\s(r e 132 
\s(r h 11 
\s(r i 48 
\s(r o 210 
\s(r t 18 
\s(r u 66 
\s(s \s 32 
\s(s ) 27 
\s(s a 113 
\s(s c 22 
\s(s e 119 
\s(s h 20 
\s(s i 64 
\s(s k 85 
\s(s l 133 
\s(s m 13 
\s(s o 67 
\s(s p 102 
\s(s r 42 
\s(s s 40 
\s(s t 133 
\s(s u 27 
\s(s v 32 
\s(t ) 18 
\s(t - 13 
\s(t . 27 
\s(t a 59 
\s(t e 86 
\s(t h 78 
\s(t i 29 
\s(t j 10 
