<CODE>
cs
</CODE>
<TRANSITION>
\n\nč e 211 
\n\nč l 13 
\n\nč t 12 
\n\nč á 15 
\n\nř a 11 
\n\nř í 104 
\n\nš k 16 
\n\nž e 10 
\n\nž i 58 
\n\n– \s 16 
\n1. \s 10 
\n12 . 17 
\n19 3 11 
\n19 7 15 
\n19 9 24 
\n2. \s 15 
\n20 0 52 
\n3. \s 11 
\n4. \s 14 
\n5. \s 14 
\n6. \s 11 
\n7. \s 13 
\n8. \s 19 
\n9. \s 12 
\na\s 1 16 
\nal b 14 
\nal e 11 
\nan g 12 
\nan t 13 
\nau t 18 
\nav š 11 
\nač k 14 
\naž \s 15 
\nbr i 10 
\nbu d 12 
\nby l 114 
\nbě h 34 
\nbř e 93 
\nce l 40 
\nch a 20 
\nch o 10 
\nda l 57 
\nda t 13 
\ndn e 32 
\ndo \s 58 
\ndo m 11 
\ndo p 14 
\ndo s 17 
\ndr u 22 
\ndu b 80 
\ndá l 38 
\ndí k 15 
\ndí l 36 
\ndě j 24 
\nex i 16 
\nex t 60 
\nfi l 18 
\nfi n 11 
\nfr a 25 
\nga l 10 
\nge o 15 
\nhi s 56 
\nhl a 33 
\nhr a 28 
\nin t 12 
\nis b 29 
\nja k 55 
\nja n 27 
\njd e 18 
\nje \s 143 
\nje d 76 
\nje h 84 
\nje j 55 
\nje š 10 
\nji n 14 
\nji ž 22 
\njo s 11 
\njs o 22 
\nka p 16 
\nka r 36 
\nka t 11 
\nka ž 14 
\nkd y 40 
\nke \s 21 
\nko l 35 
\nko m 16 
\nko n 29 
\nko s 11 
\nkr o 29 
\nkr á 22 
\nkv ě 99 
\nl. \s 29 
\nle d 70 
\nle t 80 
\nle ž 10 
\nli s 85 
\nli t 34 
\nlo d 10 
\nm. \s 17 
\nma l 14 
\nma n 12 
\nma r 28 
\nme z 43 
\nmi m 11 
\nmi n 12 
\nmo d 11 
\nmá \s 32 
\nmí s 58 
\nmě s 25 
\nn. \s 40 
\nna \s 198 
\nna c 27 
\nna d 15 
\nna k 13 
\nna p 26 
\nna r 14 
\nna v 13 
\nne j 91 
\nne v 10 
\nni c 17 
\nno v 31 
\nná s 22 
\nná z 15 
\nně k 39 
\nob e 39 
\nob l 14 
\nob s 19 
\nob v 13 
\nob ě 13 
\nod \s 77 
\nod k 52 
\nov š 10 
\npa m 21 
\npa n 14 
\npa r 14 
\npa t 20 
\npe t 13 
\npo \s 159 
\npo d 111 
\npo h 17 
\npo k 40 
\npo l 35 
\npo m 13 
\npo p 30 
\npo r 14 
\npo s 42 
\npo t 52 
\npo u 25 
\npo v 19 
\npo z 54 
\npo č 19 
\npr a 60 
\npr e 14 
\npr o 241 
\npr v 70 
\npr á 13 
\npr ů 27 
